country,country_code,date,value
Germany,DEU,2023,5.94643667725823
Germany,DEU,2022,6.87257438551097
Germany,DEU,2021,3.06666666666673
Germany,DEU,2020,0.144877925813982
Germany,DEU,2019,1.44565976888253
Germany,DEU,2018,1.73216879766942
Germany,DEU,2017,1.50949485109628
Germany,DEU,2016,0.491747008445174
Germany,DEU,2015,0.514426137125456
Germany,DEU,2014,0.906794000434246
Germany,DEU,2013,1.50472330251876
Germany,DEU,2012,2.00848884782956
Germany,DEU,2011,2.07517283735874
Germany,DEU,2010,1.1038103778926
Germany,DEU,2009,0.312739007368447
Germany,DEU,2008,2.62837981637219
Germany,DEU,2007,2.29834400700951
Germany,DEU,2006,1.57742642840563
Germany,DEU,2005,1.54691114751328
Germany,DEU,2004,1.66573696655992
Germany,DEU,2003,1.03422218628562
France,FRA,2023,4.87835726508441
France,FRA,2022,5.22236748369735
France,FRA,2021,1.64233141038385
France,FRA,2020,0.476498852725066
France,FRA,2019,1.10825492288294
France,FRA,2018,1.85081508315502
France,FRA,2017,1.03228275064662
France,FRA,2016,0.18333486112386
France,FRA,2015,0.0375143805125182
France,FRA,2014,0.50775882293799
France,FRA,2013,0.863715497861805
France,FRA,2012,1.9541953161351
France,FRA,2011,2.11159795174994
France,FRA,2010,1.53112270420926
France,FRA,2009,0.0876204781574552
France,FRA,2008,2.81286194914787
France,FRA,2007,1.4879980595386
France,FRA,2006,1.67512449608723
France,FRA,2005,1.74586936380482
France,FRA,2004,2.14208964640241
France,FRA,2003,2.09847219146923
Italy,ITA,2023,5.62219442195901
Italy,ITA,2022,8.20128991161718
Italy,ITA,2021,1.87378325762481
Italy,ITA,2020,-0.13770757391651
Italy,ITA,2019,0.611246943765304
Italy,ITA,2018,1.13748763600391
Italy,ITA,2017,1.22653316645812
Italy,ITA,2016,-0.09401665691575
Italy,ITA,2015,0.0387903996579733
Italy,ITA,2014,0.241047429826756
Italy,ITA,2013,1.21999342274306
Italy,ITA,2012,3.04136333226775
Italy,ITA,2011,2.78063272879323
Italy,ITA,2010,1.52551602118248
Italy,ITA,2009,0.774768131387381
Italy,ITA,2008,3.34783258401022
Italy,ITA,2007,1.82974112202403
Italy,ITA,2006,2.09084391012754
Italy,ITA,2005,1.9852929852798
Italy,ITA,2004,2.20673661423657
Italy,ITA,2003,2.6725555277285
Spain,ESP,2023,3.53236133492433
Spain,ESP,2022,8.39057634118627
Spain,ESP,2021,3.0931351197642
Spain,ESP,2020,-0.322753017299739
Spain,ESP,2019,0.699518994458739
Spain,ESP,2018,1.6749813686379
Spain,ESP,2017,1.95607633363963
Spain,ESP,2016,-0.202598000426452
Spain,ESP,2015,-0.500365709903242
Spain,ESP,2014,-0.151114837527235
Spain,ESP,2013,1.40858109183019
Spain,ESP,2012,2.44612782366809
Spain,ESP,2011,3.1961018883379
Spain,ESP,2010,1.79986457728769
Spain,ESP,2009,-0.28781308353524
Spain,ESP,2008,4.07534335957339
Spain,ESP,2007,2.78679745804946
Spain,ESP,2006,3.51557576832128
Spain,ESP,2005,3.36881409750383
Spain,ESP,2004,3.03924881090925
Spain,ESP,2003,3.03888839396655
Netherlands,NLD,2023,3.83839354342808
Netherlands,NLD,2022,10.0012078753473
Netherlands,NLD,2021,2.67572008805385
Netherlands,NLD,2020,1.27246037789161
Netherlands,NLD,2019,2.63369910249601
Netherlands,NLD,2018,1.7034979474447
Netherlands,NLD,2017,1.38145871407206
Netherlands,NLD,2016,0.316666666666743
Netherlands,NLD,2015,0.600248147278776
Netherlands,NLD,2014,0.976035079699679
Netherlands,NLD,2013,2.50689852657885
Netherlands,NLD,2012,2.45554765291604
Netherlands,NLD,2011,2.34107017751373
Netherlands,NLD,2010,1.27530569556683
Netherlands,NLD,2009,1.1897768702155
Netherlands,NLD,2008,2.48650198289454
Netherlands,NLD,2007,1.61385859802103
Netherlands,NLD,2006,1.10150106517702
Netherlands,NLD,2005,1.68813017869623
Netherlands,NLD,2004,1.2636473918318
Netherlands,NLD,2003,2.09199838997655
Sweden,SWE,2023,8.54862489748902
Sweden,SWE,2022,8.36929098869189
Sweden,SWE,2021,2.16319736447153
Sweden,SWE,2020,0.497367318853572
Sweden,SWE,2019,1.78415097403835
Sweden,SWE,2018,1.95353530127028
Sweden,SWE,2017,1.79449904665589
Sweden,SWE,2016,0.984269244577992
Sweden,SWE,2015,-0.0467847449832812
Sweden,SWE,2014,-0.179638494114635
Sweden,SWE,2013,-0.0442929701485858
Sweden,SWE,2012,0.888377506923638
Sweden,SWE,2011,2.9611507382214
Sweden,SWE,2010,1.15798802715628
Sweden,SWE,2009,-0.494460544377991
Sweden,SWE,2008,3.43704910602874
Sweden,SWE,2007,2.21216883436735
Sweden,SWE,2006,1.3602146862768
Sweden,SWE,2005,0.453170852576182
Sweden,SWE,2004,0.373659828721813
Sweden,SWE,2003,1.92565534892391
Poland,POL,2023,11.5289127961105
Poland,POL,2022,14.4294507575758
Poland,POL,2021,5.05502704719272
Poland,POL,2020,3.37446972618589
Poland,POL,2019,2.227478809383
Poland,POL,2018,1.81295156542679
Poland,POL,2017,2.0759355367385
Poland,POL,2016,-0.664767331433961
Poland,POL,2015,-0.87412587412577
Poland,POL,2014,0.0538213132399802
Poland,POL,2013,0.991982606332428
Poland,POL,2012,3.56037151702783
Poland,POL,2011,4.2394014962594
Poland,POL,2010,2.58069370250543
Poland,POL,2009,3.79539242483406
Poland,POL,2008,4.16497193524764
